elapsed_seconds, cpu_percentage, threads, stack_committed_mb, stack_reserved_mb, heap_used_mb, eden_mb, s0_kb, s1_kb, old_mb, meta_mb, compressed_class_mb, ygc, ygct, fgc, fgct, cgc, cgct, gct
2, 112.6, 24, 1, 25, 0.0, 0, 0.0, 0.0, 0, 0, 0, 0, 0.000, 0, 0.000, 0, 0.000, 0.000
3, 309.6, 26, 1, 25, 30.0, 30, 0.0, 0.0, 0, 22, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
4, 114.2, 29, 1, 28, 30.0, 30, 0.0, 0.0, 0, 22, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
6, 1.1, 29, 1, 28, 30.0, 30, 0.0, 0.0, 0, 22, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
7, 1.1, 29, 1, 28, 30.0, 30, 0.0, 0.0, 0, 22, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
8, 1.1, 29, 1, 28, 30.0, 30, 0.0, 0.0, 0, 22, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
9, 1.1, 28, 1, 27, 30.0, 30, 0.0, 0.0, 0, 22, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
11, 199.2, 36, 2, 35, 30.0, 30, 0.0, 0.0, 0, 22, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
12, 397.0, 36, 2, 35, 30.0, 30, 0.0, 0.0, 0, 22, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
14, 402.6, 36, 2, 35, 176.0, 176, 0.0, 0.0, 0, 35, 4, 0, 0.000, 0, 0.000, 10, 0.000, 0.000
16, 399.9, 36, 2, 35, 470.0, 470, 0.0, 0.0, 0, 35, 4, 0, 0.000, 0, 0.000, 15, 0.000, 0.000
18, 396.6, 36, 2, 35, 2466.0, 2466, 0.0, 0.0, 0, 35, 4, 0, 0.000, 0, 0.000, 16, 0.000, 0.000
21, 396.6, 36, 2, 34, 1366.0, 1330, 0.0, 0.0, 36, 35, 4, 4, 0.000, 0, 0.000, 20, 0.000, 0.000
22, 402.5, 35, 2, 34, 1456.0, 1402, 0.0, 0.0, 54, 35, 4, 9, 0.000, 0, 0.000, 25, 0.000, 0.000
24, 397.2, 35, 2, 34, 1446.0, 1398, 0.0, 0.0, 48, 35, 4, 12, 0.000, 0, 0.000, 25, 0.000, 0.000
26, 396.6, 35, 2, 34, 1622.0, 1574, 0.0, 0.0, 48, 35, 4, 15, 0.000, 0, 0.000, 25, 0.000, 0.000
28, 395.6, 36, 2, 35, 1654.0, 1606, 0.0, 0.0, 48, 35, 4, 18, 0.000, 0, 0.000, 25, 0.000, 0.001
30, 395.6, 35, 2, 34, 2160.0, 2104, 0.0, 0.0, 56, 35, 4, 22, 0.000, 0, 0.000, 25, 0.000, 0.001
32, 396.6, 35, 2, 34, 1928.0, 1870, 0.0, 0.0, 58, 35, 4, 27, 0.000, 0, 0.000, 25, 0.000, 0.001
34, 399.7, 35, 2, 34, 1070.0, 1008, 0.0, 0.0, 62, 35, 4, 36, 0.000, 0, 0.000, 25, 0.000, 0.001
36, 396.3, 35, 2, 34, 1540.0, 1478, 0.0, 0.0, 62, 35, 4, 39, 0.000, 0, 0.000, 25, 0.000, 0.001
38, 396.9, 35, 2, 34, 3312.0, 3248, 0.0, 0.0, 64, 35, 4, 43, 0.001, 0, 0.000, 25, 0.000, 0.001
40, 395.1, 35, 2, 34, 1420.0, 1356, 0.0, 0.0, 64, 35, 4, 48, 0.001, 0, 0.000, 25, 0.000, 0.001
42, 396.9, 35, 2, 34, 1466.0, 1402, 0.0, 0.0, 64, 35, 4, 51, 0.001, 0, 0.000, 25, 0.000, 0.001
44, 391.0, 35, 2, 34, 1416.0, 1352, 0.0, 0.0, 64, 35, 4, 54, 0.001, 0, 0.000, 25, 0.000, 0.001
46, 394.2, 35, 2, 34, 1590.0, 1526, 0.0, 0.0, 64, 35, 4, 57, 0.001, 0, 0.000, 25, 0.000, 0.001
47, 394.9, 35, 2, 34, 1780.0, 1716, 0.0, 0.0, 64, 35, 4, 60, 0.001, 0, 0.000, 25, 0.000, 0.001
49, 389.0, 35, 2, 34, 1614.0, 1548, 0.0, 0.0, 66, 35, 4, 63, 0.001, 0, 0.000, 25, 0.000, 0.001
51, 397.4, 35, 2, 34, 1424.0, 1358, 0.0, 0.0, 66, 35, 4, 66, 0.001, 0, 0.000, 25, 0.000, 0.001
53, 392.6, 35, 2, 34, 4778.0, 4712, 0.0, 0.0, 66, 35, 4, 67, 0.001, 0, 0.000, 25, 0.000, 0.001
55, 396.0, 35, 2, 34, 1358.0, 1292, 0.0, 0.0, 66, 35, 4, 72, 0.001, 0, 0.000, 25, 0.000, 0.001
57, 396.2, 35, 2, 34, 1654.0, 1588, 0.0, 0.0, 66, 35, 4, 75, 0.001, 0, 0.000, 25, 0.000, 0.001
59, 397.2, 35, 2, 34, 2432.0, 2364, 0.0, 0.0, 68, 35, 4, 79, 0.001, 0, 0.000, 25, 0.000, 0.001
61, 396.1, 35, 2, 34, 1592.0, 1524, 0.0, 0.0, 68, 35, 4, 84, 0.001, 0, 0.000, 25, 0.000, 0.001
63, 381.8, 35, 2, 34, 1590.0, 1522, 0.0, 0.0, 68, 35, 4, 90, 0.001, 0, 0.000, 25, 0.000, 0.001
65, 396.7, 35, 2, 34, 3782.0, 3712, 0.0, 0.0, 70, 35, 4, 94, 0.001, 0, 0.000, 25, 0.000, 0.001
67, 397.9, 35, 2, 34, 1270.0, 1200, 0.0, 0.0, 70, 35, 4, 96, 0.001, 0, 0.000, 25, 0.000, 0.001
69, 398.8, 35, 2, 34, 4604.0, 4534, 0.0, 0.0, 70, 35, 4, 100, 0.001, 0, 0.000, 25, 0.000, 0.002
71, 394.2, 35, 2, 34, 1706.0, 1636, 0.0, 0.0, 70, 35, 4, 102, 0.001, 0, 0.000, 25, 0.000, 0.002
73, 388.8, 35, 2, 34, 1646.0, 1576, 0.0, 0.0, 70, 35, 4, 105, 0.001, 0, 0.000, 25, 0.000, 0.002
75, 398.0, 35, 2, 34, 1588.0, 1516, 0.0, 0.0, 72, 35, 4, 108, 0.001, 0, 0.000, 25, 0.000, 0.002
76, 396.9, 35, 2, 34, 1426.0, 1354, 0.0, 0.0, 72, 35, 4, 111, 0.001, 0, 0.000, 25, 0.000, 0.002
78, 390.5, 35, 2, 34, 1284.0, 1212, 0.0, 0.0, 72, 35, 4, 117, 0.001, 0, 0.000, 25, 0.000, 0.002
80, 399.1, 35, 2, 34, 1414.0, 1342, 0.0, 0.0, 72, 35, 4, 120, 0.001, 0, 0.000, 25, 0.000, 0.002
82, 395.9, 35, 2, 34, 1318.0, 1246, 0.0, 0.0, 72, 35, 4, 123, 0.002, 0, 0.000, 25, 0.000, 0.002
84, 399.0, 35, 2, 34, 3394.0, 3322, 0.0, 0.0, 72, 35, 4, 127, 0.002, 0, 0.000, 25, 0.000, 0.002
86, 395.5, 35, 2, 34, 1498.0, 1426, 0.0, 0.0, 72, 35, 4, 132, 0.002, 0, 0.000, 25, 0.000, 0.002
88, 396.1, 35, 2, 34, 1622.0, 1548, 0.0, 0.0, 74, 35, 4, 135, 0.002, 0, 0.000, 25, 0.000, 0.002
90, 394.6, 35, 2, 34, 1670.0, 1596, 0.0, 0.0, 74, 35, 4, 138, 0.002, 0, 0.000, 25, 0.000, 0.002
92, 396.3, 35, 2, 34, 1628.0, 1554, 0.0, 0.0, 74, 35, 4, 141, 0.002, 0, 0.000, 25, 0.000, 0.002
94, 387.0, 35, 2, 34, 1706.0, 1632, 0.0, 0.0, 74, 35, 4, 144, 0.002, 0, 0.000, 25, 0.000, 0.002
96, 387.1, 35, 2, 34, 1714.0, 1640, 0.0, 0.0, 74, 35, 4, 147, 0.002, 0, 0.000, 25, 0.000, 0.002
98, 395.3, 35, 2, 34, 1728.0, 1652, 0.0, 0.0, 76, 35, 4, 150, 0.002, 0, 0.000, 28, 0.000, 0.002
99, 389.8, 35, 2, 34, 1532.0, 1468, 0.0, 0.0, 64, 35, 4, 157, 0.002, 0, 0.000, 29, 0.000, 0.002
101, 390.9, 35, 2, 34, 1740.0, 1676, 0.0, 0.0, 64, 35, 4, 160, 0.002, 0, 0.000, 29, 0.000, 0.002
103, 399.4, 35, 2, 34, 1650.0, 1586, 0.0, 0.0, 64, 35, 4, 163, 0.002, 0, 0.000, 29, 0.000, 0.002
105, 395.4, 35, 2, 34, 1524.0, 1460, 0.0, 0.0, 64, 35, 4, 166, 0.002, 0, 0.000, 29, 0.000, 0.002
107, 396.1, 35, 2, 34, 1644.0, 1580, 0.0, 0.0, 64, 35, 4, 169, 0.002, 0, 0.000, 29, 0.000, 0.002
109, 396.7, 35, 2, 34, 1692.0, 1628, 0.0, 0.0, 64, 35, 4, 172, 0.002, 0, 0.000, 29, 0.000, 0.003
111, 400.4, 35, 2, 34, 1486.0, 1422, 0.0, 0.0, 64, 35, 4, 175, 0.002, 0, 0.000, 29, 0.000, 0.003
113, 395.0, 35, 2, 34, 1464.0, 1400, 0.0, 0.0, 64, 35, 4, 178, 0.002, 0, 0.000, 29, 0.000, 0.003
115, 399.4, 35, 2, 34, 1546.0, 1482, 0.0, 0.0, 64, 35, 4, 181, 0.002, 0, 0.000, 29, 0.000, 0.003
117, 399.7, 35, 2, 34, 1514.0, 1450, 0.0, 0.0, 64, 35, 4, 184, 0.002, 0, 0.000, 29, 0.000, 0.003
119, 388.7, 35, 2, 34, 1650.0, 1586, 0.0, 0.0, 64, 35, 4, 187, 0.002, 0, 0.000, 29, 0.000, 0.003
121, 394.8, 35, 2, 34, 1480.0, 1414, 0.0, 0.0, 66, 35, 4, 190, 0.002, 0, 0.000, 29, 0.000, 0.003
122, 395.8, 35, 2, 34, 1830.0, 1764, 0.0, 0.0, 66, 35, 4, 193, 0.002, 0, 0.000, 29, 0.000, 0.003
124, 401.3, 36, 2, 35, 1594.0, 1528, 0.0, 0.0, 66, 35, 4, 196, 0.003, 0, 0.000, 29, 0.000, 0.003
126, 396.4, 36, 2, 35, 1622.0, 1556, 0.0, 0.0, 66, 35, 4, 199, 0.003, 0, 0.000, 29, 0.000, 0.003
128, 399.6, 36, 2, 34, 1490.0, 1424, 0.0, 0.0, 66, 35, 4, 202, 0.003, 0, 0.000, 29, 0.000, 0.003
130, 401.1, 35, 2, 35, 1674.0, 1608, 0.0, 0.0, 66, 35, 4, 205, 0.003, 0, 0.000, 29, 0.000, 0.003
132, 44.5, 36, 2, 35, 1674.0, 1608, 0.0, 0.0, 66, 35, 4, 205, 0.003, 0, 0.000, 29, 0.000, 0.003
133, 1.1, 36, 2, 35, 1674.0, 1608, 0.0, 0.0, 66, 35, 4, 205, 0.003, 0, 0.000, 29, 0.000, 0.003
134, 1.1, 36, 2, 35, 1674.0, 1608, 0.0, 0.0, 66, 35, 4, 205, 0.003, 0, 0.000, 29, 0.000, 0.003
135, 1.1, 36, 2, 35, 1674.0, 1608, 0.0, 0.0, 66, 35, 4, 205, 0.003, 0, 0.000, 29, 0.000, 0.003
137, 1.1, 35, 2, 34, 1674.0, 1608, 0.0, 0.0, 66, 35, 4, 205, 0.003, 0, 0.000, 29, 0.000, 0.003
138, 1.1, 35, 2, 34, 1674.0, 1608, 0.0, 0.0, 66, 35, 4, 205, 0.003, 0, 0.000, 29, 0.000, 0.003
139, 1.1, 35, 2, 34, 1674.0, 1608, 0.0, 0.0, 66, 35, 4, 205, 0.003, 0, 0.000, 29, 0.000, 0.003
140, 1.1, 35, 2, 34, 1674.0, 1608, 0.0, 0.0, 66, 35, 4, 205, 0.003, 0, 0.000, 29, 0.000, 0.003
