elapsed_seconds, cpu_percentage, threads, stack_committed_mb, stack_reserved_mb, heap_used_mb, eden_mb, s0_kb, s1_kb, old_mb, meta_mb, compressed_class_mb, ygc, ygct, fgc, fgct, cgc, cgct, gct
2, 109.5, 24, 1, 25, 0.0, 0, 0.0, 0.0, 0, 0, 0, 0, 0.000, 0, 0.000, 0, 0.000, 0.000
3, 346.9, 26, 1, 25, 34.0, 34, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
5, 113.3, 41, 2, 40, 34.0, 34, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
6, 1.1, 41, 2, 40, 34.0, 34, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
7, 1.1, 41, 2, 40, 34.0, 34, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
8, 1.0, 41, 2, 40, 34.0, 34, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
9, 1.1, 40, 2, 39, 34.0, 34, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
11, 1.1, 40, 2, 39, 34.0, 34, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
12, 1.1, 40, 2, 39, 34.0, 34, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
13, 1.1, 40, 2, 39, 34.0, 34, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
14, 1.3, 40, 2, 39, 34.0, 34, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
16, 1.1, 40, 2, 39, 34.0, 34, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
17, 1.1, 40, 2, 39, 34.0, 34, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
