elapsed_seconds, cpu_percentage, threads, stack_committed_mb, stack_reserved_mb, heap_used_mb, eden_mb, s0_kb, s1_kb, old_mb, meta_mb, compressed_class_mb, ygc, ygct, fgc, fgct, cgc, cgct, gct
2, 109.2, 24, 1, 25, 0.0, 0, 0.0, 0.0, 0, 0, 0, 0, 0.000, 0, 0.000, 0, 0.000, 0.000
3, 351.4, 26, 1, 25, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
4, 131.5, 31, 1, 30, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
6, 1.1, 31, 1, 30, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
7, 1.1, 31, 1, 30, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
8, 1.1, 31, 1, 30, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
9, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
11, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
12, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
13, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
14, 1.3, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
16, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
17, 1.0, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
18, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
19, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
21, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
22, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
23, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
24, 1.2, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
26, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
27, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
28, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
29, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
31, 1.2, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
32, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
33, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
34, 1.2, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
35, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
37, 1.1, 30, 1, 29, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
38, 253.0, 37, 2, 36, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
39, 178.8, 37, 2, 36, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
41, 168.3, 37, 2, 36, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
42, 160.0, 37, 2, 36, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
43, 43.1, 36, 2, 35, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
45, 28.3, 36, 2, 35, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
46, 25.1, 36, 2, 35, 26.0, 26, 0.0, 0.0, 0, 21, 2, 0, 0.000, 0, 0.000, 5, 0.000, 0.000
